City,Total_Restaurants
Brasí_lia,5
"Mandaluyong City",4
"Taguig City",4
"Pasay City",3
"Pasig City",3
"Makati City",2
"San Juan City",2
"Santa Rosa",2
"Tagaytay City",1
"Quezon City",1
